"","alphabet_name","Features","Range_Lower","Range_Upper","Threshold_lower","Threshold_upper","Weight","normalized_weight"
"10","alphabet_a","ACCLY_mean_0","40","93","-0.7046386","-0.64371581","0.420393630270735",0.137192151448778
"11","alphabet_a","ACCLZ_mean_0","1","54","0.5366211","0.62306154","0.420393630270735",0.137192151448778
"79","alphabet_a","ACCLZ_total_energy_0","1","54","14.403328725803","19.421815849132","0.420393630270735",0.137192151448778
"122","alphabet_a","EMG2_min_1","49","102","-14.5","-6","0.420393630270735",0.137192151448778
"131","alphabet_a","GYR1_min_1","77","130","-1.03125","5.8125","0.420393630270735",0.137192151448778
"140","alphabet_a","EMG3_stdev_1","42","95","5.26884907972017","13.6260159468134","0.420393630270735",0.137192151448778
"180","alphabet_a","ACCLY_mean_2","44","97","-0.69990235","-0.63620615","0.420393630270735",0.137192151448778
"208","alphabet_a","EMG3_min_2","61","114","-12.5","-5","0.420393630270735",0.137192151448778
"209","alphabet_a","EMG4_min_2","18","71","-28.5","-13","0.420393630270735",0.137192151448778
"297","alphabet_a","EMG7_min_3","14","67","-41.5","-14","0.420393630270735",0.137192151448778
"350","alphabet_a","ACCLY_mean_4","39","92","-0.70048815","-0.64255375","0.420393630270735",0.137192151448778
"418","alphabet_a","ACCLY_total_energy_4","40","93","4.1289812573785","4.9080465456705","0.420393630270735",0.137192151448778
"422","alphabet_a","GYR3_total_energy_4","8","61","1.396484375","4.125","0.420393630270735",0.137192151448778
"489","alphabet_a","GYR2_stdev_5","6","59","0.22558609955132","0.415227522772791","0.420393630270735",0.137192151448778
"499","alphabet_a","EMG5_total_energy_5","57","110","1042.5","3420","0.420393630270735",0.137192151448778
"219","alphabet_a","ORN1_min_2","2","56","62.5","66","0.41161970596323",0.134257513496282
"304","alphabet_a","ORN1_min_3","1","55","63","66","0.41161970596323",0.134257513496282
"439","alphabet_a","GYR3_mean_5","19","73","-0.515625","0.01875","0.41161970596323",0.134257513496282
"34","alphabet_a","ORN3_max_0","59","114","82.5","174","0.403019534201313",0.131380991022874
"120","alphabet_a","EMGO_min_1","2","57","-109.5","-13","0.403019534201313",0.131380991022874
"157","alphabet_a","EMG3_total_energy_1","38","93","255.5","1687.5","0.403019534201313",0.131380991022874
"283","alphabet_a","ACCLZ_max_3","1","56","0.546387","0.630371","0.403019534201313",0.131380991022874
"385","alphabet_a","ACCLZ_min_4","1","56","0.525879","0.616211","0.403019534201313",0.131380991022874
"484","alphabet_a","EMG7_stdev_5","72","127","10.0766234349806","23.6877625310523","0.403019534201313",0.131380991022874
"187","alphabet_a","ORN3_mean_2","61","117","126.65","173.4","0.39458636666445",0.128560326899721
"204","alphabet_a","ORN3_max_2","60","116","81","174","0.39458636666445",0.128560326899721
"413","alphabet_a","EMG4_total_energy_4","74","130","412","2659","0.39458636666445",0.128560326899721
"255","alphabet_a","ORN3_total_energy_2","60","117","85942","300678","0.38631384069846",0.125793392992844
"272","alphabet_a","ORN3_mean_3","60","117","78.3","174","0.38631384069846",0.125793392992844
"289","alphabet_a","ORN3_max_3","60","117","80.5","174","0.38631384069846",0.125793392992844
"306","alphabet_a","ORN3_min_3","60","117","78","174","0.38631384069846",0.125793392992844
"310","alphabet_a","EMG3_stdev_3","37","94","3.81853807508138","8.46196685372172","0.38631384069846",0.125793392992844
"334","alphabet_a","ACCLZ_total_energy_3","1","58","2.892443395539","3.89001904049","0.38631384069846",0.125793392992844
"340","alphabet_a","ORN3_total_energy_3","60","117","86611","302760","0.38631384069846",0.125793392992844
